City,Borough,Year,RentPrice
All Upper Manhattan,Manhattan,2016,2395
All Upper Manhattan,Manhattan,2016,2383
All Upper Manhattan,Manhattan,2017,2350
All Upper Manhattan,Manhattan,2017,2300
All Upper Manhattan,Manhattan,2017,2296
All Upper Manhattan,Manhattan,2017,2336
All Upper Manhattan,Manhattan,2017,2350
All Upper Manhattan,Manhattan,2017,2350
All Upper Manhattan,Manhattan,2017,2395
All Upper Manhattan,Manhattan,2017,2395
All Upper Manhattan,Manhattan,2017,2354
All Upper Manhattan,Manhattan,2017,2350
All Upper Manhattan,Manhattan,2017,2262
All Upper Manhattan,Manhattan,2017,2295
All Upper Manhattan,Manhattan,2018,2275
All Upper Manhattan,Manhattan,2018,2295
All Upper Manhattan,Manhattan,2018,2302
All Upper Manhattan,Manhattan,2018,2350
All Upper Manhattan,Manhattan,2018,2390
All Upper Manhattan,Manhattan,2018,2400
All Upper Manhattan,Manhattan,2018,2450
All Upper Manhattan,Manhattan,2018,2400
All Upper Manhattan,Manhattan,2018,2350
All Upper Manhattan,Manhattan,2018,2350
All Upper Manhattan,Manhattan,2018,2300
All Upper Manhattan,Manhattan,2018,2300
All Upper Manhattan,Manhattan,2019,2300
All Upper Manhattan,Manhattan,2019,2345
All Upper Manhattan,Manhattan,2019,2375
All Upper Manhattan,Manhattan,2019,2400
All Upper Manhattan,Manhattan,2019,2450
All Upper Manhattan,Manhattan,2019,2500
All Upper Manhattan,Manhattan,2019,2500
All Upper Manhattan,Manhattan,2019,2495
All Upper Manhattan,Manhattan,2019,2450
All Upper Manhattan,Manhattan,2019,2395
All Upper Manhattan,Manhattan,2019,2350
All Upper Manhattan,Manhattan,2019,2350
All Upper Manhattan,Manhattan,2020,2391
All Upper Manhattan,Manhattan,2020,2400
All Upper Manhattan,Manhattan,2020,2450
All Upper Manhattan,Manhattan,2020,2468
All Upper Manhattan,Manhattan,2020,2433
All Upper Manhattan,Manhattan,2020,2425
