State,Month,DeathToll
Wisconsin,Oct-20,50299
Wisconsin,Nov-20,84255
Wisconsin,Dec-20,139374
West Virginia,Jan-20,0
West Virginia,Feb-20,0
West Virginia,Mar-20,2
West Virginia,Apr-20,488
West Virginia,May-20,1932
West Virginia,Jun-20,2606
West Virginia,Jul-20,3096
West Virginia,Aug-20,4966
West Virginia,Sep-20,8578
West Virginia,Oct-20,12325
West Virginia,Nov-20,17759
West Virginia,Dec-20,32316
Wyoming,Jan-20,0
Wyoming,Feb-20,0
Wyoming,Mar-20,0
Wyoming,Apr-20,82
Wyoming,May-20,296
Wyoming,Jun-20,555
Wyoming,Jul-20,709
Wyoming,Aug-20,992
Wyoming,Sep-20,1375
Wyoming,Oct-20,1926
Wyoming,Nov-20,4563
Wyoming,Dec-20,10232
